transaction_date,store_location,month,day_of_week,is_weekend,shift,shift_num,total_cups,prev_cups
2023-01-29,Astoria,1,Sunday,1,Afternoon,2,115,100.0
2023-01-29,Astoria,1,Sunday,1,Evening,3,46,115.0
2023-01-30,Astoria,1,Monday,0,Morning,1,109,46.0
2023-01-30,Astoria,1,Monday,0,Afternoon,2,88,109.0
2023-01-30,Astoria,1,Monday,0,Evening,3,45,88.0
2023-01-31,Astoria,1,Tuesday,0,Morning,1,120,45.0
2023-01-31,Astoria,1,Tuesday,0,Afternoon,2,61,120.0
2023-01-31,Astoria,1,Tuesday,0,Evening,3,38,61.0
2023-02-01,Astoria,2,Wednesday,0,Morning,1,23,38.0
2023-02-01,Astoria,2,Wednesday,0,Afternoon,2,173,23.0
2023-02-01,Astoria,2,Wednesday,0,Evening,3,76,173.0
2023-02-02,Astoria,2,Thursday,0,Morning,1,22,76.0
2023-02-02,Astoria,2,Thursday,0,Afternoon,2,176,22.0
2023-02-02,Astoria,2,Thursday,0,Evening,3,104,176.0
2023-02-03,Astoria,2,Friday,0,Morning,1,28,104.0
2023-02-03,Astoria,2,Friday,0,Afternoon,2,191,28.0
2023-02-03,Astoria,2,Friday,0,Evening,3,82,191.0
2023-02-04,Astoria,2,Saturday,1,Morning,1,31,82.0
2023-02-04,Astoria,2,Saturday,1,Afternoon,2,168,31.0
2023-02-04,Astoria,2,Saturday,1,Evening,3,72,168.0
2023-02-05,Astoria,2,Sunday,1,Morning,1,28,72.0
2023-02-05,Astoria,2,Sunday,1,Afternoon,2,174,28.0
2023-02-05,Astoria,2,Sunday,1,Evening,3,81,174.0
2023-02-06,Astoria,2,Monday,0,Morning,1,17,81.0
2023-02-06,Astoria,2,Monday,0,Afternoon,2,121,17.0
2023-02-06,Astoria,2,Monday,0,Evening,3,71,121.0
2023-02-07,Astoria,2,Tuesday,0,Morning,1,104,71.0
2023-02-07,Astoria,2,Tuesday,0,Afternoon,2,85,104.0
2023-02-07,Astoria,2,Tuesday,0,Evening,3,66,85.0
2023-02-08,Astoria,2,Wednesday,0,Morning,1,94,66.0
2023-02-08,Astoria,2,Wednesday,0,Afternoon,2,109,94.0
2023-02-08,Astoria,2,Wednesday,0,Evening,3,60,109.0
2023-02-09,Astoria,2,Thursday,0,Morning,1,155,60.0
2023-02-09,Astoria,2,Thursday,0,Afternoon,2,44,155.0
2023-02-09,Astoria,2,Thursday,0,Evening,3,26,44.0
2023-02-10,Astoria,2,Friday,0,Morning,1,210,26.0
2023-02-10,Astoria,2,Friday,0,Afternoon,2,62,210.0
2023-02-10,Astoria,2,Friday,0,Evening,3,25,62.0
2023-02-11,Astoria,2,Saturday,1,Morning,1,142,25.0
2023-02-11,Astoria,2,Saturday,1,Afternoon,2,48,142.0
2023-02-11,Astoria,2,Saturday,1,Evening,3,22,48.0
2023-02-12,Astoria,2,Sunday,1,Morning,1,145,22.0
2023-02-12,Astoria,2,Sunday,1,Afternoon,2,39,145.0
2023-02-12,Astoria,2,Sunday,1,Evening,3,23,39.0
2023-02-13,Astoria,2,Monday,0,Morning,1,134,23.0
2023-02-13,Astoria,2,Monday,0,Afternoon,2,48,134.0
2023-02-13,Astoria,2,Monday,0,Evening,3,30,48.0
2023-02-14,Astoria,2,Tuesday,0,Morning,1,149,30.0
2023-02-14,Astoria,2,Tuesday,0,Afternoon,2,28,149.0
2023-02-14,Astoria,2,Tuesday,0,Evening,3,33,28.0
2023-02-15,Astoria,2,Wednesday,0,Morning,1,250,33.0
2023-02-15,Astoria,2,Wednesday,0,Afternoon,2,70,250.0
2023-02-15,Astoria,2,Wednesday,0,Evening,3,55,70.0
2023-02-16,Astoria,2,Thursday,0,Morning,1,205,55.0
2023-02-16,Astoria,2,Thursday,0,Afternoon,2,70,205.0
2023-02-16,Astoria,2,Thursday,0,Evening,3,66,70.0
2023-02-17,Astoria,2,Friday,0,Morning,1,196,66.0
2023-02-17,Astoria,2,Friday,0,Afternoon,2,63,196.0
2023-02-17,Astoria,2,Friday,0,Evening,3,39,63.0
2023-02-18,Astoria,2,Saturday,1,Morning,1,210,39.0
2023-02-18,Astoria,2,Saturday,1,Afternoon,2,59,210.0
2023-02-18,Astoria,2,Saturday,1,Evening,3,28,59.0
2023-02-19,Astoria,2,Sunday,1,Morning,1,223,28.0
2023-02-19,Astoria,2,Sunday,1,Afternoon,2,71,223.0
2023-02-19,Astoria,2,Sunday,1,Evening,3,48,71.0
2023-02-20,Astoria,2,Monday,0,Morning,1,132,48.0
2023-02-20,Astoria,2,Monday,0,Afternoon,2,42,132.0
2023-02-20,Astoria,2,Monday,0,Evening,3,35,42.0
2023-02-21,Astoria,2,Tuesday,0,Morning,1,158,35.0
2023-02-21,Astoria,2,Tuesday,0,Afternoon,2,40,158.0
2023-02-21,Astoria,2,Tuesday,0,Evening,3,40,40.0
2023-02-22,Astoria,2,Wednesday,0,Morning,1,130,40.0
2023-02-22,Astoria,2,Wednesday,0,Afternoon,2,128,130.0
2023-02-22,Astoria,2,Wednesday,0,Evening,3,76,128.0
2023-02-23,Astoria,2,Thursday,0,Morning,1,119,76.0
2023-02-23,Astoria,2,Thursday,0,Afternoon,2,106,119.0
2023-02-23,Astoria,2,Thursday,0,Evening,3,58,106.0
2023-02-24,Astoria,2,Friday,0,Morning,1,114,58.0
2023-02-24,Astoria,2,Friday,0,Afternoon,2,126,114.0
2023-02-24,Astoria,2,Friday,0,Evening,3,63,126.0
2023-02-25,Astoria,2,Saturday,1,Morning,1,117,63.0
2023-02-25,Astoria,2,Saturday,1,Afternoon,2,97,117.0
2023-02-25,Astoria,2,Saturday,1,Evening,3,52,97.0
2023-02-26,Astoria,2,Sunday,1,Morning,1,123,52.0
2023-02-26,Astoria,2,Sunday,1,Afternoon,2,139,123.0
2023-02-26,Astoria,2,Sunday,1,Evening,3,75,139.0
2023-02-27,Astoria,2,Monday,0,Morning,1,129,75.0
2023-02-27,Astoria,2,Monday,0,Afternoon,2,94,129.0
2023-02-27,Astoria,2,Monday,0,Evening,3,78,94.0
2023-02-28,Astoria,2,Tuesday,0,Morning,1,110,78.0
2023-02-28,Astoria,2,Tuesday,0,Afternoon,2,75,110.0
2023-02-28,Astoria,2,Tuesday,0,Evening,3,90,75.0
2023-03-01,Astoria,3,Wednesday,0,Morning,1,41,90.0
2023-03-01,Astoria,3,Wednesday,0,Afternoon,2,178,41.0
2023-03-01,Astoria,3,Wednesday,0,Evening,3,109,178.0
2023-03-02,Astoria,3,Thursday,0,Morning,1,37,109.0
2023-03-02,Astoria,3,Thursday,0,Afternoon,2,196,37.0
2023-03-02,Astoria,3,Thursday,0,Evening,3,119,196.0
2023-03-03,Astoria,3,Friday,0,Morning,1,50,119.0
2023-03-03,Astoria,3,Friday,0,Afternoon,2,210,50.0
2023-03-03,Astoria,3,Friday,0,Evening,3,111,210.0
2023-03-04,Astoria,3,Saturday,1,Morning,1,25,111.0
2023-03-04,Astoria,3,Saturday,1,Afternoon,2,214,25.0
2023-03-04,Astoria,3,Saturday,1,Evening,3,89,214.0
2023-03-05,Astoria,3,Sunday,1,Morning,1,34,89.0
2023-03-05,Astoria,3,Sunday,1,Afternoon,2,188,34.0
2023-03-05,Astoria,3,Sunday,1,Evening,3,133,188.0
2023-03-06,Astoria,3,Monday,0,Morning,1,23,133.0
2023-03-06,Astoria,3,Monday,0,Afternoon,2,133,23.0
2023-03-06,Astoria,3,Monday,0,Evening,3,75,133.0
2023-03-07,Astoria,3,Tuesday,0,Morning,1,132,75.0
2023-03-07,Astoria,3,Tuesday,0,Afternoon,2,97,132.0
2023-03-07,Astoria,3,Tuesday,0,Evening,3,64,97.0
2023-03-08,Astoria,3,Wednesday,0,Morning,1,122,64.0
2023-03-08,Astoria,3,Wednesday,0,Afternoon,2,133,122.0
2023-03-08,Astoria,3,Wednesday,0,Evening,3,77,133.0
2023-03-09,Astoria,3,Thursday,0,Morning,1,162,77.0
2023-03-09,Astoria,3,Thursday,0,Afternoon,2,48,162.0
2023-03-09,Astoria,3,Thursday,0,Evening,3,39,48.0
2023-03-10,Astoria,3,Friday,0,Morning,1,194,39.0
2023-03-10,Astoria,3,Friday,0,Afternoon,2,92,194.0
2023-03-10,Astoria,3,Friday,0,Evening,3,41,92.0
2023-03-11,Astoria,3,Saturday,1,Morning,1,164,41.0
2023-03-11,Astoria,3,Saturday,1,Afternoon,2,72,164.0
2023-03-11,Astoria,3,Saturday,1,Evening,3,59,72.0
2023-03-12,Astoria,3,Sunday,1,Morning,1,127,59.0
2023-03-12,Astoria,3,Sunday,1,Afternoon,2,40,127.0
2023-03-12,Astoria,3,Sunday,1,Evening,3,35,40.0
2023-03-13,Astoria,3,Monday,0,Morning,1,189,35.0
2023-03-13,Astoria,3,Monday,0,Afternoon,2,66,189.0
2023-03-13,Astoria,3,Monday,0,Evening,3,27,66.0
2023-03-14,Astoria,3,Tuesday,0,Morning,1,163,27.0
2023-03-14,Astoria,3,Tuesday,0,Afternoon,2,43,163.0
2023-03-14,Astoria,3,Tuesday,0,Evening,3,51,43.0
2023-03-15,Astoria,3,Wednesday,0,Morning,1,283,51.0
2023-03-15,Astoria,3,Wednesday,0,Afternoon,2,77,283.0
2023-03-15,Astoria,3,Wednesday,0,Evening,3,38,77.0
2023-03-16,Astoria,3,Thursday,0,Morning,1,218,38.0
2023-03-16,Astoria,3,Thursday,0,Afternoon,2,78,218.0
2023-03-16,Astoria,3,Thursday,0,Evening,3,63,78.0
2023-03-17,Astoria,3,Friday,0,Morning,1,301,63.0
2023-03-17,Astoria,3,Friday,0,Afternoon,2,72,301.0
2023-03-17,Astoria,3,Friday,0,Evening,3,35,72.0
2023-03-18,Astoria,3,Saturday,1,Morning,1,239,35.0
2023-03-18,Astoria,3,Saturday,1,Afternoon,2,70,239.0
2023-03-18,Astoria,3,Saturday,1,Evening,3,44,70.0
2023-03-19,Astoria,3,Sunday,1,Morning,1,273,44.0
2023-03-19,Astoria,3,Sunday,1,Afternoon,2,76,273.0
2023-03-19,Astoria,3,Sunday,1,Evening,3,43,76.0
2023-03-20,Astoria,3,Monday,0,Morning,1,184,43.0
2023-03-20,Astoria,3,Monday,0,Afternoon,2,65,184.0
2023-03-20,Astoria,3,Monday,0,Evening,3,36,65.0
2023-03-21,Astoria,3,Tuesday,0,Morning,1,146,36.0
2023-03-21,Astoria,3,Tuesday,0,Afternoon,2,49,146.0
2023-03-21,Astoria,3,Tuesday,0,Evening,3,41,49.0
2023-03-22,Astoria,3,Wednesday,0,Morning,1,150,41.0
2023-03-22,Astoria,3,Wednesday,0,Afternoon,2,148,150.0
2023-03-22,Astoria,3,Wednesday,0,Evening,3,69,148.0
2023-03-23,Astoria,3,Thursday,0,Morning,1,112,69.0
2023-03-23,Astoria,3,Thursday,0,Afternoon,2,132,112.0
2023-03-23,Astoria,3,Thursday,0,Evening,3,84,132.0
2023-03-24,Astoria,3,Friday,0,Morning,1,143,84.0
2023-03-24,Astoria,3,Friday,0,Afternoon,2,132,143.0
2023-03-24,Astoria,3,Friday,0,Evening,3,80,132.0
2023-03-25,Astoria,3,Saturday,1,Morning,1,135,80.0
2023-03-25,Astoria,3,Saturday,1,Afternoon,2,122,135.0
2023-03-25,Astoria,3,Saturday,1,Evening,3,80,122.0
2023-03-26,Astoria,3,Sunday,1,Morning,1,169,80.0
2023-03-26,Astoria,3,Sunday,1,Afternoon,2,142,169.0
2023-03-26,Astoria,3,Sunday,1,Evening,3,80,142.0
2023-03-27,Astoria,3,Monday,0,Morning,1,162,80.0
2023-03-27,Astoria,3,Monday,0,Afternoon,2,119,162.0
2023-03-27,Astoria,3,Monday,0,Evening,3,79,119.0
2023-03-28,Astoria,3,Tuesday,0,Morning,1,137,79.0
2023-03-28,Astoria,3,Tuesday,0,Afternoon,2,116,137.0
2023-03-28,Astoria,3,Tuesday,0,Evening,3,59,116.0
2023-03-29,Astoria,3,Wednesday,0,Morning,1,130,59.0
2023-03-29,Astoria,3,Wednesday,0,Afternoon,2,120,130.0
2023-03-29,Astoria,3,Wednesday,0,Evening,3,67,120.0
2023-03-30,Astoria,3,Thursday,0,Morning,1,162,67.0
2023-03-30,Astoria,3,Thursday,0,Afternoon,2,85,162.0
2023-03-30,Astoria,3,Thursday,0,Evening,3,60,85.0
2023-03-31,Astoria,3,Friday,0,Morning,1,156,60.0
2023-03-31,Astoria,3,Friday,0,Afternoon,2,71,156.0
2023-03-31,Astoria,3,Friday,0,Evening,3,65,71.0
2023-04-01,Astoria,4,Saturday,1,Morning,1,51,65.0
2023-04-01,Astoria,4,Saturday,1,Afternoon,2,246,51.0
2023-04-01,Astoria,4,Saturday,1,Evening,3,136,246.0
2023-04-02,Astoria,4,Sunday,1,Morning,1,35,136.0
2023-04-02,Astoria,4,Sunday,1,Afternoon,2,235,35.0
2023-04-02,Astoria,4,Sunday,1,Evening,3,160,235.0
2023-04-03,Astoria,4,Monday,0,Morning,1,69,160.0
2023-04-03,Astoria,4,Monday,0,Afternoon,2,234,69.0
2023-04-03,Astoria,4,Monday,0,Evening,3,126,234.0
2023-04-04,Astoria,4,Tuesday,0,Morning,1,37,126.0
2023-04-04,Astoria,4,Tuesday,0,Afternoon,2,214,37.0
2023-04-04,Astoria,4,Tuesday,0,Evening,3,120,214.0
2023-04-05,Astoria,4,Wednesday,0,Morning,1,38,120.0
2023-04-05,Astoria,4,Wednesday,0,Afternoon,2,219,38.0
2023-04-05,Astoria,4,Wednesday,0,Evening,3,143,219.0
2023-04-06,Astoria,4,Thursday,0,Morning,1,39,143.0
2023-04-06,Astoria,4,Thursday,0,Afternoon,2,172,39.0
2023-04-06,Astoria,4,Thursday,0,Evening,3,107,172.0
2023-04-07,Astoria,4,Friday,0,Morning,1,152,107.0
2023-04-07,Astoria,4,Friday,0,Afternoon,2,131,152.0
2023-04-07,Astoria,4,Friday,0,Evening,3,80,131.0
2023-04-08,Astoria,4,Saturday,1,Morning,1,142,80.0
2023-04-08,Astoria,4,Saturday,1,Afternoon,2,193,142.0
2023-04-08,Astoria,4,Saturday,1,Evening,3,109,193.0
2023-04-09,Astoria,4,Sunday,1,Morning,1,204,109.0
2023-04-09,Astoria,4,Sunday,1,Afternoon,2,73,204.0
2023-04-09,Astoria,4,Sunday,1,Evening,3,43,73.0
2023-04-10,Astoria,4,Monday,0,Morning,1,293,43.0
2023-04-10,Astoria,4,Monday,0,Afternoon,2,75,293.0
2023-04-10,Astoria,4,Monday,0,Evening,3,48,75.0
2023-04-11,Astoria,4,Tuesday,0,Morning,1,257,48.0
2023-04-11,Astoria,4,Tuesday,0,Afternoon,2,95,257.0
2023-04-11,Astoria,4,Tuesday,0,Evening,3,59,95.0
2023-04-12,Astoria,4,Wednesday,0,Morning,1,175,59.0
2023-04-12,Astoria,4,Wednesday,0,Afternoon,2,68,175.0
2023-04-12,Astoria,4,Wednesday,0,Evening,3,44,68.0
2023-04-13,Astoria,4,Thursday,0,Morning,1,236,44.0
2023-04-13,Astoria,4,Thursday,0,Afternoon,2,72,236.0
2023-04-13,Astoria,4,Thursday,0,Evening,3,45,72.0
2023-04-14,Astoria,4,Friday,0,Morning,1,190,45.0
2023-04-14,Astoria,4,Friday,0,Afternoon,2,62,190.0
2023-04-14,Astoria,4,Friday,0,Evening,3,70,62.0
2023-04-15,Astoria,4,Saturday,1,Morning,1,317,70.0
2023-04-15,Astoria,4,Saturday,1,Afternoon,2,94,317.0
2023-04-15,Astoria,4,Saturday,1,Evening,3,59,94.0
2023-04-16,Astoria,4,Sunday,1,Morning,1,309,59.0
2023-04-16,Astoria,4,Sunday,1,Afternoon,2,85,309.0
2023-04-16,Astoria,4,Sunday,1,Evening,3,57,85.0
2023-04-17,Astoria,4,Monday,0,Morning,1,320,57.0
2023-04-17,Astoria,4,Monday,0,Afternoon,2,79,320.0
2023-04-17,Astoria,4,Monday,0,Evening,3,58,79.0
2023-04-18,Astoria,4,Tuesday,0,Morning,1,309,58.0
2023-04-18,Astoria,4,Tuesday,0,Afternoon,2,94,309.0
2023-04-18,Astoria,4,Tuesday,0,Evening,3,50,94.0
2023-04-19,Astoria,4,Wednesday,0,Morning,1,342,50.0
2023-04-19,Astoria,4,Wednesday,0,Afternoon,2,89,342.0
2023-04-19,Astoria,4,Wednesday,0,Evening,3,57,89.0
2023-04-20,Astoria,4,Thursday,0,Morning,1,170,57.0
2023-04-20,Astoria,4,Thursday,0,Afternoon,2,74,170.0
2023-04-20,Astoria,4,Thursday,0,Evening,3,50,74.0
2023-04-21,Astoria,4,Friday,0,Morning,1,203,50.0
2023-04-21,Astoria,4,Friday,0,Afternoon,2,46,203.0
2023-04-21,Astoria,4,Friday,0,Evening,3,56,46.0
2023-04-22,Astoria,4,Saturday,1,Morning,1,161,56.0
2023-04-22,Astoria,4,Saturday,1,Afternoon,2,177,161.0
2023-04-22,Astoria,4,Saturday,1,Evening,3,76,177.0
2023-04-23,Astoria,4,Sunday,1,Morning,1,178,76.0
2023-04-23,Astoria,4,Sunday,1,Afternoon,2,159,178.0
2023-04-23,Astoria,4,Sunday,1,Evening,3,91,159.0
2023-04-24,Astoria,4,Monday,0,Morning,1,217,91.0
2023-04-24,Astoria,4,Monday,0,Afternoon,2,170,217.0
2023-04-24,Astoria,4,Monday,0,Evening,3,103,170.0
2023-04-25,Astoria,4,Tuesday,0,Morning,1,170,103.0
2023-04-25,Astoria,4,Tuesday,0,Afternoon,2,146,170.0
2023-04-25,Astoria,4,Tuesday,0,Evening,3,114,146.0
2023-04-26,Astoria,4,Wednesday,0,Morning,1,177,114.0
2023-04-26,Astoria,4,Wednesday,0,Afternoon,2,180,177.0
2023-04-26,Astoria,4,Wednesday,0,Evening,3,104,180.0
2023-04-27,Astoria,4,Thursday,0,Morning,1,180,104.0
2023-04-27,Astoria,4,Thursday,0,Afternoon,2,165,180.0
2023-04-27,Astoria,4,Thursday,0,Evening,3,116,165.0
2023-04-28,Astoria,4,Friday,0,Morning,1,145,116.0
2023-04-28,Astoria,4,Friday,0,Afternoon,2,139,145.0
2023-04-28,Astoria,4,Friday,0,Evening,3,102,139.0
2023-04-29,Astoria,4,Saturday,1,Morning,1,114,102.0
2023-04-29,Astoria,4,Saturday,1,Afternoon,2,142,114.0
2023-04-29,Astoria,4,Saturday,1,Evening,3,99,142.0
2023-04-30,Astoria,4,Sunday,1,Morning,1,182,99.0
2023-04-30,Astoria,4,Sunday,1,Afternoon,2,152,182.0
2023-04-30,Astoria,4,Sunday,1,Evening,3,52,152.0
2023-05-01,Astoria,5,Monday,0,Morning,1,74,52.0
2023-05-01,Astoria,5,Monday,0,Afternoon,2,304,74.0
2023-05-01,Astoria,5,Monday,0,Evening,3,155,304.0
2023-05-02,Astoria,5,Tuesday,0,Morning,1,56,155.0
2023-05-02,Astoria,5,Tuesday,0,Afternoon,2,310,56.0
2023-05-02,Astoria,5,Tuesday,0,Evening,3,198,310.0
2023-05-03,Astoria,5,Wednesday,0,Morning,1,82,198.0
2023-05-03,Astoria,5,Wednesday,0,Afternoon,2,302,82.0
2023-05-03,Astoria,5,Wednesday,0,Evening,3,183,302.0
2023-05-04,Astoria,5,Thursday,0,Morning,1,51,183.0
2023-05-04,Astoria,5,Thursday,0,Afternoon,2,332,51.0
2023-05-04,Astoria,5,Thursday,0,Evening,3,164,332.0
2023-05-05,Astoria,5,Friday,0,Morning,1,40,164.0
2023-05-05,Astoria,5,Friday,0,Afternoon,2,324,40.0
2023-05-05,Astoria,5,Friday,0,Evening,3,190,324.0
2023-05-06,Astoria,5,Saturday,1,Morning,1,29,190.0
2023-05-06,Astoria,5,Saturday,1,Afternoon,2,244,29.0
2023-05-06,Astoria,5,Saturday,1,Evening,3,141,244.0
2023-05-07,Astoria,5,Sunday,1,Morning,1,195,141.0
2023-05-07,Astoria,5,Sunday,1,Afternoon,2,164,195.0
2023-05-07,Astoria,5,Sunday,1,Evening,3,93,164.0
2023-05-08,Astoria,5,Monday,0,Morning,1,189,93.0
2023-05-08,Astoria,5,Monday,0,Afternoon,2,240,189.0
2023-05-08,Astoria,5,Monday,0,Evening,3,117,240.0
2023-05-09,Astoria,5,Tuesday,0,Morning,1,242,117.0
2023-05-09,Astoria,5,Tuesday,0,Afternoon,2,100,242.0
2023-05-09,Astoria,5,Tuesday,0,Evening,3,45,100.0
2023-05-10,Astoria,5,Wednesday,0,Morning,1,370,45.0
2023-05-10,Astoria,5,Wednesday,0,Afternoon,2,118,370.0
2023-05-10,Astoria,5,Wednesday,0,Evening,3,62,118.0
2023-05-11,Astoria,5,Thursday,0,Morning,1,271,62.0
2023-05-11,Astoria,5,Thursday,0,Afternoon,2,111,271.0
2023-05-11,Astoria,5,Thursday,0,Evening,3,61,111.0
2023-05-12,Astoria,5,Friday,0,Morning,1,237,61.0
2023-05-12,Astoria,5,Friday,0,Afternoon,2,78,237.0
2023-05-12,Astoria,5,Friday,0,Evening,3,47,78.0
2023-05-13,Astoria,5,Saturday,1,Morning,1,275,47.0
2023-05-13,Astoria,5,Saturday,1,Afternoon,2,105,275.0
2023-05-13,Astoria,5,Saturday,1,Evening,3,59,105.0
2023-05-14,Astoria,5,Sunday,1,Morning,1,271,59.0
2023-05-14,Astoria,5,Sunday,1,Afternoon,2,81,271.0
2023-05-14,Astoria,5,Sunday,1,Evening,3,65,81.0
2023-05-15,Astoria,5,Monday,0,Morning,1,420,65.0
2023-05-15,Astoria,5,Monday,0,Afternoon,2,116,420.0
2023-05-15,Astoria,5,Monday,0,Evening,3,94,116.0
2023-05-16,Astoria,5,Tuesday,0,Morning,1,398,94.0
2023-05-16,Astoria,5,Tuesday,0,Afternoon,2,128,398.0
2023-05-16,Astoria,5,Tuesday,0,Evening,3,97,128.0
2023-05-17,Astoria,5,Wednesday,0,Morning,1,391,97.0
2023-05-17,Astoria,5,Wednesday,0,Afternoon,2,102,391.0
2023-05-17,Astoria,5,Wednesday,0,Evening,3,73,102.0
2023-05-18,Astoria,5,Thursday,0,Morning,1,380,73.0
2023-05-18,Astoria,5,Thursday,0,Afternoon,2,118,380.0
