transaction_date,store_location,month,day_of_week,is_weekend,shift,shift_num,total_cups,total_revenue,prev_revenue,prev_cups
2023-02-06,Astoria,2,Monday,0,Morning,1,17,55.65,247.85,81.0
2023-02-06,Astoria,2,Monday,0,Afternoon,2,121,382.7,55.65,17.0
2023-02-06,Astoria,2,Monday,0,Evening,3,71,217.0,382.7,121.0
2023-02-07,Astoria,2,Tuesday,0,Morning,1,104,330.45,217.0,71.0
2023-02-07,Astoria,2,Tuesday,0,Afternoon,2,85,263.15,330.45,104.0
2023-02-07,Astoria,2,Tuesday,0,Evening,3,66,210.7,263.15,85.0
2023-02-08,Astoria,2,Wednesday,0,Morning,1,94,297.15,210.7,66.0
2023-02-08,Astoria,2,Wednesday,0,Afternoon,2,109,409.1,297.15,94.0
2023-02-08,Astoria,2,Wednesday,0,Evening,3,60,222.55,409.1,109.0
2023-02-09,Astoria,2,Thursday,0,Morning,1,155,518.75,222.55,60.0
2023-02-09,Astoria,2,Thursday,0,Afternoon,2,44,264.7,518.75,155.0
2023-02-09,Astoria,2,Thursday,0,Evening,3,26,83.35,264.7,44.0
2023-02-10,Astoria,2,Friday,0,Morning,1,210,616.65,83.35,26.0
2023-02-10,Astoria,2,Friday,0,Afternoon,2,62,175.3,616.65,210.0
2023-02-10,Astoria,2,Friday,0,Evening,3,25,76.05,175.3,62.0
2023-02-11,Astoria,2,Saturday,1,Morning,1,142,439.15,76.05,25.0
2023-02-11,Astoria,2,Saturday,1,Afternoon,2,48,156.15,439.15,142.0
2023-02-11,Astoria,2,Saturday,1,Evening,3,22,74.75,156.15,48.0
2023-02-12,Astoria,2,Sunday,1,Morning,1,145,481.8,74.75,22.0
2023-02-12,Astoria,2,Sunday,1,Afternoon,2,39,131.55,481.8,145.0
2023-02-12,Astoria,2,Sunday,1,Evening,3,23,67.25,131.55,39.0
2023-02-13,Astoria,2,Monday,0,Morning,1,134,405.1,67.25,23.0
2023-02-13,Astoria,2,Monday,0,Afternoon,2,48,140.55,405.1,134.0
2023-02-13,Astoria,2,Monday,0,Evening,3,30,96.25,140.55,48.0
2023-02-14,Astoria,2,Tuesday,0,Morning,1,149,531.85,96.25,30.0
2023-02-14,Astoria,2,Tuesday,0,Afternoon,2,28,117.8,531.85,149.0
2023-02-14,Astoria,2,Tuesday,0,Evening,3,33,97.4,117.8,28.0
2023-02-15,Astoria,2,Wednesday,0,Morning,1,250,830.45,97.4,33.0
2023-02-15,Astoria,2,Wednesday,0,Afternoon,2,70,224.15,830.45,250.0
2023-02-15,Astoria,2,Wednesday,0,Evening,3,55,200.35,224.15,70.0
2023-02-16,Astoria,2,Thursday,0,Morning,1,205,708.6,200.35,55.0
2023-02-16,Astoria,2,Thursday,0,Afternoon,2,70,254.65,708.6,205.0
2023-02-16,Astoria,2,Thursday,0,Evening,3,66,228.05,254.65,70.0
2023-02-17,Astoria,2,Friday,0,Morning,1,196,616.05,228.05,66.0
2023-02-17,Astoria,2,Friday,0,Afternoon,2,63,220.8,616.05,196.0
2023-02-17,Astoria,2,Friday,0,Evening,3,39,130.75,220.8,63.0
2023-02-18,Astoria,2,Saturday,1,Morning,1,210,713.53,130.75,39.0
2023-02-18,Astoria,2,Saturday,1,Afternoon,2,59,229.5,713.53,210.0
2023-02-18,Astoria,2,Saturday,1,Evening,3,28,126.5,229.5,59.0
2023-02-19,Astoria,2,Sunday,1,Morning,1,223,781.45,126.5,28.0
2023-02-19,Astoria,2,Sunday,1,Afternoon,2,71,239.0,781.45,223.0
2023-02-19,Astoria,2,Sunday,1,Evening,3,48,143.95,239.0,71.0
2023-02-20,Astoria,2,Monday,0,Morning,1,132,479.3,143.95,48.0
2023-02-20,Astoria,2,Monday,0,Afternoon,2,42,154.7,479.3,132.0
2023-02-20,Astoria,2,Monday,0,Evening,3,35,126.23,154.7,42.0
2023-02-21,Astoria,2,Tuesday,0,Morning,1,158,564.43,126.23,35.0
2023-02-21,Astoria,2,Tuesday,0,Afternoon,2,40,189.2,564.43,158.0
2023-02-21,Astoria,2,Tuesday,0,Evening,3,40,116.85,189.2,40.0
2023-02-22,Astoria,2,Wednesday,0,Morning,1,130,406.5,116.85,40.0
2023-02-22,Astoria,2,Wednesday,0,Afternoon,2,128,405.25,406.5,130.0
2023-02-22,Astoria,2,Wednesday,0,Evening,3,76,225.75,405.25,128.0
2023-02-23,Astoria,2,Thursday,0,Morning,1,119,377.75,225.75,76.0
2023-02-23,Astoria,2,Thursday,0,Afternoon,2,106,331.8,377.75,119.0
2023-02-23,Astoria,2,Thursday,0,Evening,3,58,194.95,331.8,106.0
2023-02-24,Astoria,2,Friday,0,Morning,1,114,368.6,194.95,58.0
2023-02-24,Astoria,2,Friday,0,Afternoon,2,126,422.0,368.6,114.0
2023-02-24,Astoria,2,Friday,0,Evening,3,63,196.3,422.0,126.0
2023-02-25,Astoria,2,Saturday,1,Morning,1,117,350.6,196.3,63.0
2023-02-25,Astoria,2,Saturday,1,Afternoon,2,97,294.55,350.6,117.0
2023-02-25,Astoria,2,Saturday,1,Evening,3,52,168.4,294.55,97.0
2023-02-26,Astoria,2,Sunday,1,Morning,1,123,379.4,168.4,52.0
2023-02-26,Astoria,2,Sunday,1,Afternoon,2,139,429.4,379.4,123.0
2023-02-26,Astoria,2,Sunday,1,Evening,3,75,222.1,429.4,139.0
2023-02-27,Astoria,2,Monday,0,Morning,1,129,402.7,222.1,75.0
2023-02-27,Astoria,2,Monday,0,Afternoon,2,94,298.5,402.7,129.0
2023-02-27,Astoria,2,Monday,0,Evening,3,78,230.65,298.5,94.0
2023-02-28,Astoria,2,Tuesday,0,Morning,1,110,325.15,230.65,78.0
2023-02-28,Astoria,2,Tuesday,0,Afternoon,2,75,224.65,325.15,110.0
2023-02-28,Astoria,2,Tuesday,0,Evening,3,90,293.1,224.65,75.0
2023-03-01,Astoria,3,Wednesday,0,Morning,1,41,127.75,293.1,90.0
2023-03-01,Astoria,3,Wednesday,0,Afternoon,2,178,532.9,127.75,41.0
2023-03-01,Astoria,3,Wednesday,0,Evening,3,109,360.45,532.9,178.0
2023-03-02,Astoria,3,Thursday,0,Morning,1,37,113.3,360.45,109.0
2023-03-02,Astoria,3,Thursday,0,Afternoon,2,196,613.1,113.3,37.0
2023-03-02,Astoria,3,Thursday,0,Evening,3,119,362.0,613.1,196.0
2023-03-03,Astoria,3,Friday,0,Morning,1,50,158.05,362.0,119.0
2023-03-03,Astoria,3,Friday,0,Afternoon,2,210,657.8,158.05,50.0
2023-03-03,Astoria,3,Friday,0,Evening,3,111,344.5,657.8,210.0
2023-03-04,Astoria,3,Saturday,1,Morning,1,25,82.35,344.5,111.0
2023-03-04,Astoria,3,Saturday,1,Afternoon,2,214,656.65,82.35,25.0
2023-03-04,Astoria,3,Saturday,1,Evening,3,89,269.75,656.65,214.0
2023-03-05,Astoria,3,Sunday,1,Morning,1,34,96.9,269.75,89.0
2023-03-05,Astoria,3,Sunday,1,Afternoon,2,188,583.0,96.9,34.0
2023-03-05,Astoria,3,Sunday,1,Evening,3,133,417.25,583.0,188.0
2023-03-06,Astoria,3,Monday,0,Morning,1,23,68.7,417.25,133.0
2023-03-06,Astoria,3,Monday,0,Afternoon,2,133,426.3,68.7,23.0
2023-03-06,Astoria,3,Monday,0,Evening,3,75,237.75,426.3,133.0
2023-03-07,Astoria,3,Tuesday,0,Morning,1,132,419.95,237.75,75.0
2023-03-07,Astoria,3,Tuesday,0,Afternoon,2,97,304.05,419.95,132.0
2023-03-07,Astoria,3,Tuesday,0,Evening,3,64,197.3,304.05,97.0
2023-03-08,Astoria,3,Wednesday,0,Morning,1,122,439.28,197.3,64.0
2023-03-08,Astoria,3,Wednesday,0,Afternoon,2,133,487.05,439.28,122.0
2023-03-08,Astoria,3,Wednesday,0,Evening,3,77,282.75,487.05,133.0
2023-03-09,Astoria,3,Thursday,0,Morning,1,162,574.35,282.75,77.0
2023-03-09,Astoria,3,Thursday,0,Afternoon,2,48,201.03,574.35,162.0
2023-03-09,Astoria,3,Thursday,0,Evening,3,39,133.45,201.03,48.0
2023-03-10,Astoria,3,Friday,0,Morning,1,194,593.45,133.45,39.0
2023-03-10,Astoria,3,Friday,0,Afternoon,2,92,284.8,593.45,194.0
2023-03-10,Astoria,3,Friday,0,Evening,3,41,202.95,284.8,92.0
2023-03-11,Astoria,3,Saturday,1,Morning,1,164,568.15,202.95,41.0
2023-03-11,Astoria,3,Saturday,1,Afternoon,2,72,245.9,568.15,164.0
2023-03-11,Astoria,3,Saturday,1,Evening,3,59,181.2,245.9,72.0
2023-03-12,Astoria,3,Sunday,1,Morning,1,127,440.58,181.2,59.0
2023-03-12,Astoria,3,Sunday,1,Afternoon,2,40,120.6,440.58,127.0
2023-03-12,Astoria,3,Sunday,1,Evening,3,35,102.95,120.6,40.0
2023-03-13,Astoria,3,Monday,0,Morning,1,189,563.8,102.95,35.0
2023-03-13,Astoria,3,Monday,0,Afternoon,2,66,200.0,563.8,189.0
2023-03-13,Astoria,3,Monday,0,Evening,3,27,82.3,200.0,66.0
2023-03-14,Astoria,3,Tuesday,0,Morning,1,163,582.5,82.3,27.0
2023-03-14,Astoria,3,Tuesday,0,Afternoon,2,43,181.85,582.5,163.0
2023-03-14,Astoria,3,Tuesday,0,Evening,3,51,202.2,181.85,43.0
2023-03-15,Astoria,3,Wednesday,0,Morning,1,283,966.05,202.2,51.0
2023-03-15,Astoria,3,Wednesday,0,Afternoon,2,77,285.2,966.05,283.0
2023-03-15,Astoria,3,Wednesday,0,Evening,3,38,166.2,285.2,77.0
2023-03-16,Astoria,3,Thursday,0,Morning,1,218,662.78,166.2,38.0
2023-03-16,Astoria,3,Thursday,0,Afternoon,2,78,264.35,662.78,218.0
2023-03-16,Astoria,3,Thursday,0,Evening,3,63,222.0,264.35,78.0
2023-03-17,Astoria,3,Friday,0,Morning,1,301,1064.85,222.0,63.0
2023-03-17,Astoria,3,Friday,0,Afternoon,2,72,219.75,1064.85,301.0
2023-03-17,Astoria,3,Friday,0,Evening,3,35,155.85,219.75,72.0
2023-03-18,Astoria,3,Saturday,1,Morning,1,239,783.08,155.85,35.0
2023-03-18,Astoria,3,Saturday,1,Afternoon,2,70,248.65,783.08,239.0
2023-03-18,Astoria,3,Saturday,1,Evening,3,44,175.85,248.65,70.0
2023-03-19,Astoria,3,Sunday,1,Morning,1,273,1018.95,175.85,44.0
2023-03-19,Astoria,3,Sunday,1,Afternoon,2,76,255.45,1018.95,273.0
2023-03-19,Astoria,3,Sunday,1,Evening,3,43,214.1,255.45,76.0
2023-03-20,Astoria,3,Monday,0,Morning,1,184,724.05,214.1,43.0
2023-03-20,Astoria,3,Monday,0,Afternoon,2,65,252.45,724.05,184.0
2023-03-20,Astoria,3,Monday,0,Evening,3,36,136.58,252.45,65.0
2023-03-21,Astoria,3,Tuesday,0,Morning,1,146,525.5,136.58,36.0
2023-03-21,Astoria,3,Tuesday,0,Afternoon,2,49,162.65,525.5,146.0
2023-03-21,Astoria,3,Tuesday,0,Evening,3,41,147.7,162.65,49.0
2023-03-22,Astoria,3,Wednesday,0,Morning,1,150,466.3,147.7,41.0
2023-03-22,Astoria,3,Wednesday,0,Afternoon,2,148,456.3,466.3,150.0
2023-03-22,Astoria,3,Wednesday,0,Evening,3,69,201.95,456.3,148.0
2023-03-23,Astoria,3,Thursday,0,Morning,1,112,365.5,201.95,69.0
2023-03-23,Astoria,3,Thursday,0,Afternoon,2,132,408.05,365.5,112.0
2023-03-23,Astoria,3,Thursday,0,Evening,3,84,287.0,408.05,132.0
2023-03-24,Astoria,3,Friday,0,Morning,1,143,456.05,287.0,84.0
2023-03-24,Astoria,3,Friday,0,Afternoon,2,132,415.1,456.05,143.0
2023-03-24,Astoria,3,Friday,0,Evening,3,80,252.05,415.1,132.0
2023-03-25,Astoria,3,Saturday,1,Morning,1,135,411.1,252.05,80.0
2023-03-25,Astoria,3,Saturday,1,Afternoon,2,122,373.7,411.1,135.0
2023-03-25,Astoria,3,Saturday,1,Evening,3,80,240.95,373.7,122.0
2023-03-26,Astoria,3,Sunday,1,Morning,1,169,516.2,240.95,80.0
2023-03-26,Astoria,3,Sunday,1,Afternoon,2,142,446.1,516.2,169.0
2023-03-26,Astoria,3,Sunday,1,Evening,3,80,246.35,446.1,142.0
2023-03-27,Astoria,3,Monday,0,Morning,1,162,511.7,246.35,80.0
2023-03-27,Astoria,3,Monday,0,Afternoon,2,119,374.9,511.7,162.0
2023-03-27,Astoria,3,Monday,0,Evening,3,79,237.4,374.9,119.0
2023-03-28,Astoria,3,Tuesday,0,Morning,1,137,404.65,237.4,79.0
2023-03-28,Astoria,3,Tuesday,0,Afternoon,2,116,364.6,404.65,137.0
2023-03-28,Astoria,3,Tuesday,0,Evening,3,59,185.5,364.6,116.0
2023-03-29,Astoria,3,Wednesday,0,Morning,1,130,409.0,185.5,59.0
2023-03-29,Astoria,3,Wednesday,0,Afternoon,2,120,361.4,409.0,130.0
2023-03-29,Astoria,3,Wednesday,0,Evening,3,67,208.4,361.4,120.0
2023-03-30,Astoria,3,Thursday,0,Morning,1,162,512.2,208.4,67.0
2023-03-30,Astoria,3,Thursday,0,Afternoon,2,85,275.8,512.2,162.0
2023-03-30,Astoria,3,Thursday,0,Evening,3,60,179.05,275.8,85.0
2023-03-31,Astoria,3,Friday,0,Morning,1,156,457.05,179.05,60.0
2023-03-31,Astoria,3,Friday,0,Afternoon,2,71,233.6,457.05,156.0
2023-03-31,Astoria,3,Friday,0,Evening,3,65,224.5,233.6,71.0
2023-04-01,Astoria,4,Saturday,1,Morning,1,51,150.3,224.5,65.0
2023-04-01,Astoria,4,Saturday,1,Afternoon,2,246,731.3,150.3,51.0
2023-04-01,Astoria,4,Saturday,1,Evening,3,136,434.9,731.3,246.0
2023-04-02,Astoria,4,Sunday,1,Morning,1,35,109.1,434.9,136.0
2023-04-02,Astoria,4,Sunday,1,Afternoon,2,235,739.1,109.1,35.0
2023-04-02,Astoria,4,Sunday,1,Evening,3,160,503.15,739.1,235.0
2023-04-03,Astoria,4,Monday,0,Morning,1,69,225.25,503.15,160.0
2023-04-03,Astoria,4,Monday,0,Afternoon,2,234,727.3,225.25,69.0
2023-04-03,Astoria,4,Monday,0,Evening,3,126,380.85,727.3,234.0
2023-04-04,Astoria,4,Tuesday,0,Morning,1,37,123.15,380.85,126.0
2023-04-04,Astoria,4,Tuesday,0,Afternoon,2,214,659.95,123.15,37.0
2023-04-04,Astoria,4,Tuesday,0,Evening,3,120,367.65,659.95,214.0
2023-04-05,Astoria,4,Wednesday,0,Morning,1,38,116.5,367.65,120.0
2023-04-05,Astoria,4,Wednesday,0,Afternoon,2,219,678.4,116.5,38.0
2023-04-05,Astoria,4,Wednesday,0,Evening,3,143,447.25,678.4,219.0
2023-04-06,Astoria,4,Thursday,0,Morning,1,39,120.8,447.25,143.0
2023-04-06,Astoria,4,Thursday,0,Afternoon,2,172,548.0,120.8,39.0
2023-04-06,Astoria,4,Thursday,0,Evening,3,107,334.15,548.0,172.0
2023-04-07,Astoria,4,Friday,0,Morning,1,152,481.85,334.15,107.0
2023-04-07,Astoria,4,Friday,0,Afternoon,2,131,400.6,481.85,152.0
2023-04-07,Astoria,4,Friday,0,Evening,3,80,256.15,400.6,131.0
2023-04-08,Astoria,4,Saturday,1,Morning,1,142,482.98,256.15,80.0
2023-04-08,Astoria,4,Saturday,1,Afternoon,2,193,712.55,482.98,142.0
2023-04-08,Astoria,4,Saturday,1,Evening,3,109,436.4,712.55,193.0
2023-04-09,Astoria,4,Sunday,1,Morning,1,204,711.83,436.4,109.0
2023-04-09,Astoria,4,Sunday,1,Afternoon,2,73,325.05,711.83,204.0
2023-04-09,Astoria,4,Sunday,1,Evening,3,43,155.3,325.05,73.0
2023-04-10,Astoria,4,Monday,0,Morning,1,293,894.4,155.3,43.0
2023-04-10,Astoria,4,Monday,0,Afternoon,2,75,247.95,894.4,293.0
2023-04-10,Astoria,4,Monday,0,Evening,3,48,213.1,247.95,75.0
2023-04-11,Astoria,4,Tuesday,0,Morning,1,257,811.8,213.1,48.0
2023-04-11,Astoria,4,Tuesday,0,Afternoon,2,95,288.75,811.8,257.0
2023-04-11,Astoria,4,Tuesday,0,Evening,3,59,194.45,288.75,95.0
2023-04-12,Astoria,4,Wednesday,0,Morning,1,175,591.63,194.45,59.0
2023-04-12,Astoria,4,Wednesday,0,Afternoon,2,68,233.15,591.63,175.0
2023-04-12,Astoria,4,Wednesday,0,Evening,3,44,133.85,233.15,68.0
2023-04-13,Astoria,4,Thursday,0,Morning,1,236,713.4,133.85,44.0
2023-04-13,Astoria,4,Thursday,0,Afternoon,2,72,218.5,713.4,236.0
2023-04-13,Astoria,4,Thursday,0,Evening,3,45,137.8,218.5,72.0
2023-04-14,Astoria,4,Friday,0,Morning,1,190,707.23,137.8,45.0
2023-04-14,Astoria,4,Friday,0,Afternoon,2,62,230.5,707.23,190.0
2023-04-14,Astoria,4,Friday,0,Evening,3,70,258.1,230.5,62.0
2023-04-15,Astoria,4,Saturday,1,Morning,1,317,1115.66,258.1,70.0
2023-04-15,Astoria,4,Saturday,1,Afternoon,2,94,304.95,1115.66,317.0
2023-04-15,Astoria,4,Saturday,1,Evening,3,59,202.05,304.95,94.0
2023-04-16,Astoria,4,Sunday,1,Morning,1,309,1001.53,202.05,59.0
2023-04-16,Astoria,4,Sunday,1,Afternoon,2,85,277.15,1001.53,309.0
2023-04-16,Astoria,4,Sunday,1,Evening,3,57,203.4,277.15,85.0
2023-04-17,Astoria,4,Monday,0,Morning,1,320,1073.6,203.4,57.0
2023-04-17,Astoria,4,Monday,0,Afternoon,2,79,241.55,1073.6,320.0
2023-04-17,Astoria,4,Monday,0,Evening,3,58,228.45,241.55,79.0
2023-04-18,Astoria,4,Tuesday,0,Morning,1,309,1079.16,228.45,58.0
2023-04-18,Astoria,4,Tuesday,0,Afternoon,2,94,336.78,1079.16,309.0
2023-04-18,Astoria,4,Tuesday,0,Evening,3,50,192.85,336.78,94.0
2023-04-19,Astoria,4,Wednesday,0,Morning,1,342,1211.73,192.85,50.0
2023-04-19,Astoria,4,Wednesday,0,Afternoon,2,89,313.4,1211.73,342.0
2023-04-19,Astoria,4,Wednesday,0,Evening,3,57,213.8,313.4,89.0
2023-04-20,Astoria,4,Thursday,0,Morning,1,170,638.35,213.8,57.0
2023-04-20,Astoria,4,Thursday,0,Afternoon,2,74,319.4,638.35,170.0
2023-04-20,Astoria,4,Thursday,0,Evening,3,50,206.2,319.4,74.0
2023-04-21,Astoria,4,Friday,0,Morning,1,203,708.03,206.2,50.0
2023-04-21,Astoria,4,Friday,0,Afternoon,2,46,212.9,708.03,203.0
