transaction_date,store_location,month,day_of_week,is_weekend,shift,Bakery,Branded,Coffee,Coffee_beans,Drinking_Chocolate,Flavours,Loose_Tea,Packaged_Chocolate,Tea,total_shift_cups
2023-01-08,Lower Manhattan,1,Sunday,1,Afternoon,5,0,24,0,3,8,0,0,21,61
2023-01-08,Lower Manhattan,1,Sunday,1,Evening,2,0,13,0,2,6,0,0,20,43
2023-01-08,Lower Manhattan,1,Sunday,1,Morning,24,1,82,7,10,22,1,0,51,198
2023-01-09,Astoria,1,Monday,0,Afternoon,1,0,16,2,6,0,1,1,13,40
2023-01-09,Astoria,1,Monday,0,Evening,1,0,7,0,2,0,2,1,9,22
2023-01-09,Astoria,1,Monday,0,Morning,21,0,56,2,11,0,1,2,53,146
2023-01-09,Hell's Kitchen,1,Monday,0,Afternoon,7,0,19,0,8,3,0,0,18,55
2023-01-09,Hell's Kitchen,1,Monday,0,Evening,4,0,15,1,4,3,0,0,8,35
2023-01-09,Hell's Kitchen,1,Monday,0,Morning,14,0,66,3,20,10,1,1,67,182
2023-01-09,Lower Manhattan,1,Monday,0,Afternoon,4,0,22,1,4,0,0,0,21,52
2023-01-09,Lower Manhattan,1,Monday,0,Evening,3,0,8,1,2,0,0,0,8,22
2023-01-09,Lower Manhattan,1,Monday,0,Morning,17,6,81,2,15,3,4,2,58,188
2023-01-10,Astoria,1,Tuesday,0,Afternoon,6,1,24,0,13,2,0,0,12,58
2023-01-10,Astoria,1,Tuesday,0,Evening,3,0,6,0,4,3,1,0,10,27
2023-01-10,Astoria,1,Tuesday,0,Morning,28,0,80,2,10,20,1,0,79,220
2023-01-10,Hell's Kitchen,1,Tuesday,0,Afternoon,5,0,20,0,2,10,2,0,22,61
2023-01-10,Hell's Kitchen,1,Tuesday,0,Evening,1,0,17,0,0,3,0,0,18,39
2023-01-10,Hell's Kitchen,1,Tuesday,0,Morning,20,1,74,0,9,13,1,1,54,173
2023-01-10,Lower Manhattan,1,Tuesday,0,Afternoon,8,0,39,1,7,1,0,0,15,71
2023-01-10,Lower Manhattan,1,Tuesday,0,Evening,0,0,5,0,0,3,0,0,3,11
2023-01-10,Lower Manhattan,1,Tuesday,0,Morning,29,1,60,3,18,20,2,1,61,195
2023-01-11,Astoria,1,Wednesday,0,Afternoon,4,2,14,0,3,2,0,0,13,38
2023-01-11,Astoria,1,Wednesday,0,Evening,4,2,17,0,4,6,0,0,6,39
2023-01-11,Astoria,1,Wednesday,0,Morning,15,1,63,0,13,9,1,0,50,152
2023-01-11,Hell's Kitchen,1,Wednesday,0,Afternoon,5,0,18,0,3,1,0,1,27,55
2023-01-11,Hell's Kitchen,1,Wednesday,0,Evening,4,0,16,0,6,2,0,2,12,42
2023-01-11,Hell's Kitchen,1,Wednesday,0,Morning,25,2,79,1,15,20,2,2,52,198
2023-01-11,Lower Manhattan,1,Wednesday,0,Afternoon,7,0,26,1,3,9,2,0,28,76
2023-01-11,Lower Manhattan,1,Wednesday,0,Evening,4,0,9,0,0,4,0,0,6,23
2023-01-11,Lower Manhattan,1,Wednesday,0,Morning,18,0,49,2,23,17,1,0,49,159
2023-01-12,Astoria,1,Thursday,0,Afternoon,7,0,14,0,1,2,1,0,8,33
2023-01-12,Astoria,1,Thursday,0,Evening,4,0,16,0,0,5,1,0,14,40
2023-01-12,Astoria,1,Thursday,0,Morning,20,0,56,2,9,6,2,1,37,133
2023-01-12,Hell's Kitchen,1,Thursday,0,Afternoon,7,1,19,1,4,2,1,0,29,64
2023-01-12,Hell's Kitchen,1,Thursday,0,Evening,4,0,19,1,2,2,0,0,10,38
2023-01-12,Hell's Kitchen,1,Thursday,0,Morning,13,0,60,0,9,17,0,0,50,149
2023-01-12,Lower Manhattan,1,Thursday,0,Afternoon,12,0,20,2,7,3,0,0,22,66
2023-01-12,Lower Manhattan,1,Thursday,0,Evening,4,0,11,1,1,3,0,0,9,29
2023-01-12,Lower Manhattan,1,Thursday,0,Morning,27,0,71,0,19,32,1,1,56,207
2023-01-13,Astoria,1,Friday,0,Afternoon,2,0,16,0,2,2,0,0,19,41
2023-01-13,Astoria,1,Friday,0,Evening,2,0,16,0,3,5,0,0,17,43
2023-01-13,Astoria,1,Friday,0,Morning,23,0,63,0,10,13,0,0,53,162
2023-01-13,Hell's Kitchen,1,Friday,0,Afternoon,6,0,27,3,11,5,1,1,26,80
2023-01-13,Hell's Kitchen,1,Friday,0,Evening,2,0,25,2,2,3,2,0,19,55
2023-01-13,Hell's Kitchen,1,Friday,0,Morning,27,0,112,2,20,25,4,1,83,274
2023-01-13,Lower Manhattan,1,Friday,0,Afternoon,10,0,29,2,11,5,2,0,23,82
2023-01-13,Lower Manhattan,1,Friday,0,Evening,1,0,16,0,0,0,0,0,6,23
2023-01-13,Lower Manhattan,1,Friday,0,Morning,26,2,75,1,4,17,1,0,64,190
2023-01-14,Astoria,1,Saturday,1,Afternoon,1,1,16,1,6,7,1,0,9,42
2023-01-14,Astoria,1,Saturday,1,Evening,3,0,10,0,0,3,0,0,14,30
2023-01-14,Astoria,1,Saturday,1,Morning,9,2,58,3,19,15,1,1,33,141
2023-01-14,Hell's Kitchen,1,Saturday,1,Afternoon,4,0,14,1,3,0,1,0,13,36
2023-01-14,Hell's Kitchen,1,Saturday,1,Evening,8,0,25,1,3,2,0,2,16,57
2023-01-14,Hell's Kitchen,1,Saturday,1,Morning,39,0,89,5,11,28,3,1,57,233
2023-01-14,Lower Manhattan,1,Saturday,1,Afternoon,14,3,17,0,7,6,0,0,9,56
2023-01-14,Lower Manhattan,1,Saturday,1,Evening,5,1,9,0,1,2,1,0,3,22
2023-01-14,Lower Manhattan,1,Saturday,1,Morning,25,2,66,0,6,21,0,1,33,154
2023-01-15,Astoria,1,Sunday,1,Afternoon,5,2,32,1,4,2,0,0,23,69
2023-01-15,Astoria,1,Sunday,1,Evening,7,1,23,4,6,0,0,0,22,63
2023-01-15,Astoria,1,Sunday,1,Morning,26,2,85,4,9,21,2,2,82,233
2023-01-15,Hell's Kitchen,1,Sunday,1,Afternoon,2,0,13,0,7,2,0,1,22,47
2023-01-15,Hell's Kitchen,1,Sunday,1,Evening,4,0,14,0,3,2,0,0,14,37
2023-01-15,Hell's Kitchen,1,Sunday,1,Morning,29,2,57,3,20,9,1,2,73,196
2023-01-15,Lower Manhattan,1,Sunday,1,Afternoon,9,0,34,0,7,10,0,1,22,83
2023-01-15,Lower Manhattan,1,Sunday,1,Evening,2,0,3,0,2,0,0,0,3,10
2023-01-15,Lower Manhattan,1,Sunday,1,Morning,17,1,89,1,10,18,2,0,51,189
2023-01-16,Astoria,1,Monday,0,Afternoon,7,1,23,0,3,5,1,1,27,68
2023-01-16,Astoria,1,Monday,0,Evening,2,0,32,0,8,0,0,0,9,51
2023-01-16,Astoria,1,Monday,0,Morning,22,1,71,2,26,19,2,1,56,200
2023-01-16,Hell's Kitchen,1,Monday,0,Afternoon,6,0,22,0,8,1,0,0,9,46
2023-01-16,Hell's Kitchen,1,Monday,0,Evening,1,0,16,0,1,2,1,0,14,35
2023-01-16,Hell's Kitchen,1,Monday,0,Morning,30,0,82,4,10,11,3,1,55,196
2023-01-16,Lower Manhattan,1,Monday,0,Afternoon,5,0,29,1,3,10,1,0,20,69
2023-01-16,Lower Manhattan,1,Monday,0,Evening,1,0,4,1,0,1,0,0,2,9
2023-01-16,Lower Manhattan,1,Monday,0,Morning,20,1,77,2,11,17,0,1,52,181
2023-01-17,Astoria,1,Tuesday,0,Afternoon,3,1,18,1,2,2,0,0,24,51
2023-01-17,Astoria,1,Tuesday,0,Evening,4,2,15,1,6,0,0,0,11,39
2023-01-17,Astoria,1,Tuesday,0,Morning,18,5,76,1,17,22,2,0,66,207
2023-01-17,Hell's Kitchen,1,Tuesday,0,Afternoon,0,0,13,2,1,3,0,0,14,33
2023-01-17,Hell's Kitchen,1,Tuesday,0,Evening,0,0,4,0,0,0,0,0,8,12
2023-01-17,Hell's Kitchen,1,Tuesday,0,Morning,22,0,62,19,9,11,1,1,44,169
2023-01-17,Lower Manhattan,1,Tuesday,0,Afternoon,10,1,29,0,3,6,1,0,13,63
2023-01-17,Lower Manhattan,1,Tuesday,0,Evening,1,0,4,0,3,2,0,0,6,16
2023-01-17,Lower Manhattan,1,Tuesday,0,Morning,13,1,65,2,18,22,1,1,49,172
2023-01-18,Astoria,1,Wednesday,0,Afternoon,6,0,22,0,5,1,0,1,22,57
2023-01-18,Astoria,1,Wednesday,0,Evening,3,0,13,2,3,0,1,0,9,31
2023-01-18,Astoria,1,Wednesday,0,Morning,25,3,75,3,13,18,3,0,67,207
2023-01-18,Hell's Kitchen,1,Wednesday,0,Afternoon,2,0,25,0,6,6,0,0,14,53
2023-01-18,Hell's Kitchen,1,Wednesday,0,Evening,1,0,9,0,1,2,1,0,10,24
2023-01-18,Hell's Kitchen,1,Wednesday,0,Morning,23,1,54,4,16,13,3,0,72,186
2023-01-18,Lower Manhattan,1,Wednesday,0,Afternoon,10,0,22,1,8,6,0,1,25,73
2023-01-18,Lower Manhattan,1,Wednesday,0,Evening,1,0,9,0,1,2,0,1,2,16
2023-01-18,Lower Manhattan,1,Wednesday,0,Morning,17,1,74,0,14,25,2,1,46,180
2023-01-19,Astoria,1,Thursday,0,Afternoon,2,0,28,0,2,2,0,0,20,54
2023-01-19,Astoria,1,Thursday,0,Evening,6,0,16,1,3,0,0,0,13,39
2023-01-19,Astoria,1,Thursday,0,Morning,23,3,94,3,15,23,1,2,56,220
2023-01-19,Hell's Kitchen,1,Thursday,0,Afternoon,3,1,23,1,5,3,1,0,22,59
2023-01-19,Hell's Kitchen,1,Thursday,0,Evening,0,0,19,1,0,1,0,0,8,29
2023-01-19,Hell's Kitchen,1,Thursday,0,Morning,35,0,78,6,15,5,1,1,64,205
2023-01-19,Lower Manhattan,1,Thursday,0,Afternoon,3,1,35,2,10,9,0,0,12,72
2023-01-19,Lower Manhattan,1,Thursday,0,Evening,1,0,9,0,2,7,0,0,3,22
2023-01-19,Lower Manhattan,1,Thursday,0,Morning,17,1,62,0,15,20,0,0,43,158
2023-01-20,Astoria,1,Friday,0,Afternoon,15,0,15,3,1,2,2,0,16,54
2023-01-20,Astoria,1,Friday,0,Evening,14,0,11,1,1,0,0,1,10,38
2023-01-20,Astoria,1,Friday,0,Morning,28,0,36,3,11,6,3,1,35,123
2023-01-20,Hell's Kitchen,1,Friday,0,Afternoon,9,0,26,2,3,8,0,0,17,65
2023-01-20,Hell's Kitchen,1,Friday,0,Evening,4,0,20,1,5,4,0,0,13,47
2023-01-20,Hell's Kitchen,1,Friday,0,Morning,13,1,76,1,12,14,3,0,52,172
2023-01-20,Lower Manhattan,1,Friday,0,Afternoon,10,0,25,0,0,4,0,0,20,59
2023-01-20,Lower Manhattan,1,Friday,0,Evening,3,0,15,0,1,0,0,0,6,25
2023-01-20,Lower Manhattan,1,Friday,0,Morning,31,0,63,2,11,22,1,0,54,184
2023-01-21,Astoria,1,Saturday,1,Afternoon,3,1,13,1,11,5,0,0,9,43
2023-01-21,Astoria,1,Saturday,1,Evening,3,2,22,1,4,8,0,0,21,61
2023-01-21,Astoria,1,Saturday,1,Morning,13,4,55,3,14,16,0,0,56,161
2023-01-21,Hell's Kitchen,1,Saturday,1,Afternoon,10,0,29,1,2,7,0,0,22,71
2023-01-21,Hell's Kitchen,1,Saturday,1,Evening,4,0,18,0,4,2,0,0,12,40
2023-01-21,Hell's Kitchen,1,Saturday,1,Morning,25,2,74,4,18,12,2,0,70,207
2023-01-21,Lower Manhattan,1,Saturday,1,Afternoon,11,1,32,2,2,5,2,0,15,70
2023-01-21,Lower Manhattan,1,Saturday,1,Evening,1,0,1,0,2,0,0,0,3,7
2023-01-21,Lower Manhattan,1,Saturday,1,Morning,29,0,85,4,23,21,2,0,54,218
2023-01-22,Astoria,1,Sunday,1,Afternoon,8,0,42,0,15,0,0,0,29,94
2023-01-22,Astoria,1,Sunday,1,Evening,3,0,14,0,4,0,0,0,28,49
2023-01-22,Astoria,1,Sunday,1,Morning,9,0,44,0,9,0,0,0,35,97
2023-01-22,Hell's Kitchen,1,Sunday,1,Afternoon,7,0,25,0,3,3,0,0,18,56
2023-01-22,Hell's Kitchen,1,Sunday,1,Evening,4,0,22,0,3,0,1,0,8,38
2023-01-22,Hell's Kitchen,1,Sunday,1,Morning,15,0,34,2,12,2,0,0,37,102
2023-01-22,Lower Manhattan,1,Sunday,1,Afternoon,6,0,38,0,2,4,0,0,24,74
2023-01-22,Lower Manhattan,1,Sunday,1,Evening,4,0,16,0,0,7,0,0,8,35
2023-01-22,Lower Manhattan,1,Sunday,1,Morning,15,3,89,0,17,19,1,1,78,223
2023-01-23,Astoria,1,Monday,0,Afternoon,10,0,52,0,12,0,0,0,44,118
2023-01-23,Astoria,1,Monday,0,Evening,7,0,30,0,11,0,0,0,14,62
2023-01-23,Astoria,1,Monday,0,Morning,9,0,51,0,12,0,0,0,40,112
2023-01-23,Hell's Kitchen,1,Monday,0,Afternoon,3,0,29,1,2,2,0,0,28,65
2023-01-23,Hell's Kitchen,1,Monday,0,Evening,6,0,26,0,5,1,0,0,9,47
2023-01-23,Hell's Kitchen,1,Monday,0,Morning,26,0,75,5,13,5,1,1,66,192
2023-01-23,Lower Manhattan,1,Monday,0,Afternoon,3,1,40,0,3,6,0,0,21,74
2023-01-23,Lower Manhattan,1,Monday,0,Evening,7,0,19,0,0,5,0,0,10,41
2023-01-23,Lower Manhattan,1,Monday,0,Morning,23,1,82,1,10,9,1,1,46,174
2023-01-24,Astoria,1,Tuesday,0,Afternoon,11,0,52,0,7,0,0,0,44,114
2023-01-24,Astoria,1,Tuesday,0,Evening,6,0,21,0,11,0,0,0,22,60
2023-01-24,Astoria,1,Tuesday,0,Morning,17,0,51,0,12,0,0,0,38,118
2023-01-24,Hell's Kitchen,1,Tuesday,0,Afternoon,5,0,36,0,7,3,0,0,27,78
2023-01-24,Hell's Kitchen,1,Tuesday,0,Evening,2,0,14,1,6,0,1,0,8,32
2023-01-24,Hell's Kitchen,1,Tuesday,0,Morning,17,0,45,5,14,0,2,0,49,132
2023-01-24,Lower Manhattan,1,Tuesday,0,Afternoon,14,0,37,0,6,8,1,0,31,97
2023-01-24,Lower Manhattan,1,Tuesday,0,Evening,1,0,5,0,1,0,0,0,5,12
2023-01-24,Lower Manhattan,1,Tuesday,0,Morning,21,3,90,1,23,19,2,0,81,240
2023-01-25,Astoria,1,Wednesday,0,Afternoon,13,0,46,0,6,0,0,0,46,111
2023-01-25,Astoria,1,Wednesday,0,Evening,6,0,33,0,6,0,0,0,23,68
2023-01-25,Astoria,1,Wednesday,0,Morning,7,0,73,0,14,0,0,0,41,135
2023-01-25,Hell's Kitchen,1,Wednesday,0,Afternoon,5,0,39,0,5,0,1,0,20,70
2023-01-25,Hell's Kitchen,1,Wednesday,0,Evening,6,0,13,0,3,0,0,0,13,35
2023-01-25,Hell's Kitchen,1,Wednesday,0,Morning,24,0,62,1,9,3,2,1,51,153
2023-01-25,Lower Manhattan,1,Wednesday,0,Afternoon,11,0,42,0,6,7,1,1,41,109
2023-01-25,Lower Manhattan,1,Wednesday,0,Evening,2,0,9,0,0,3,0,0,6,20
2023-01-25,Lower Manhattan,1,Wednesday,0,Morning,17,0,83,5,17,7,1,0,75,205
2023-01-26,Astoria,1,Thursday,0,Afternoon,13,0,72,0,5,0,0,0,44,134
2023-01-26,Astoria,1,Thursday,0,Evening,3,0,24,0,5,0,0,0,19,51
2023-01-26,Astoria,1,Thursday,0,Morning,11,0,68,0,8,0,0,0,36,123
2023-01-26,Hell's Kitchen,1,Thursday,0,Afternoon,9,0,22,1,4,2,0,0,17,55
2023-01-26,Hell's Kitchen,1,Thursday,0,Evening,4,0,28,0,3,5,1,1,13,55
2023-01-26,Hell's Kitchen,1,Thursday,0,Morning,23,0,61,2,10,3,3,0,43,145
2023-01-26,Lower Manhattan,1,Thursday,0,Afternoon,4,0,28,0,2,2,0,0,15,51
2023-01-26,Lower Manhattan,1,Thursday,0,Evening,3,1,11,0,3,0,0,0,18,36
2023-01-26,Lower Manhattan,1,Thursday,0,Morning,19,3,89,3,20,20,2,0,81,237
2023-01-27,Astoria,1,Friday,0,Afternoon,9,0,40,0,15,0,0,0,36,100
2023-01-27,Astoria,1,Friday,0,Evening,9,0,29,0,5,0,0,0,36,79
2023-01-27,Astoria,1,Friday,0,Morning,7,0,43,0,11,0,0,0,33,94
2023-01-27,Hell's Kitchen,1,Friday,0,Afternoon,0,0,24,0,8,4,0,0,6,42
2023-01-27,Hell's Kitchen,1,Friday,0,Evening,0,0,12,0,3,6,0,0,19,40
2023-01-27,Hell's Kitchen,1,Friday,0,Morning,12,0,83,1,14,16,0,0,56,182
2023-01-27,Lower Manhattan,1,Friday,0,Afternoon,9,2,40,0,7,4,0,1,39,102
2023-01-27,Lower Manhattan,1,Friday,0,Evening,3,0,10,0,4,3,0,0,15,35
2023-01-27,Lower Manhattan,1,Friday,0,Morning,21,2,82,3,16,11,2,0,75,212
2023-01-28,Astoria,1,Saturday,1,Afternoon,9,0,40,0,10,0,0,0,20,79
2023-01-28,Astoria,1,Saturday,1,Evening,5,0,30,0,2,0,0,0,19,56
2023-01-28,Astoria,1,Saturday,1,Morning,7,0,55,0,6,0,0,0,41,109
2023-01-28,Hell's Kitchen,1,Saturday,1,Afternoon,14,0,53,0,12,0,0,0,39,118
2023-01-28,Hell's Kitchen,1,Saturday,1,Evening,4,0,18,0,5,0,0,0,18,45
2023-01-28,Hell's Kitchen,1,Saturday,1,Morning,6,0,28,0,8,0,0,0,22,64
2023-01-28,Lower Manhattan,1,Saturday,1,Afternoon,10,0,50,0,6,0,0,0,27,93
2023-01-28,Lower Manhattan,1,Saturday,1,Evening,1,0,9,0,1,0,0,0,8,19
2023-01-28,Lower Manhattan,1,Saturday,1,Morning,15,0,43,0,3,0,0,0,28,89
2023-01-29,Astoria,1,Sunday,1,Afternoon,14,0,39,0,15,0,0,0,47,115
2023-01-29,Astoria,1,Sunday,1,Evening,2,0,20,0,6,0,0,0,18,46
2023-01-29,Astoria,1,Sunday,1,Morning,11,0,40,0,16,0,0,0,33,100
2023-01-29,Hell's Kitchen,1,Sunday,1,Afternoon,13,0,46,0,3,0,0,0,22,84
2023-01-29,Hell's Kitchen,1,Sunday,1,Evening,4,0,17,0,6,0,0,0,10,37
2023-01-29,Hell's Kitchen,1,Sunday,1,Morning,8,0,36,0,7,0,0,0,23,74
2023-01-29,Lower Manhattan,1,Sunday,1,Afternoon,15,0,45,0,8,0,0,0,23,91
2023-01-29,Lower Manhattan,1,Sunday,1,Evening,2,0,6,0,6,0,0,0,11,25
2023-01-29,Lower Manhattan,1,Sunday,1,Morning,13,0,47,0,7,0,0,0,13,80
2023-01-30,Astoria,1,Monday,0,Afternoon,9,2,46,1,4,3,1,0,22,88
2023-01-30,Astoria,1,Monday,0,Evening,6,0,17,1,7,2,0,0,12,45
2023-01-30,Astoria,1,Monday,0,Morning,15,1,33,3,3,8,0,0,46,109
2023-01-30,Hell's Kitchen,1,Monday,0,Afternoon,2,0,23,1,10,3,1,0,17,57
2023-01-30,Hell's Kitchen,1,Monday,0,Evening,2,0,11,0,9,0,0,0,16,38
2023-01-30,Hell's Kitchen,1,Monday,0,Morning,21,0,65,5,14,2,0,0,40,147
2023-01-30,Lower Manhattan,1,Monday,0,Afternoon,8,0,18,0,2,9,1,1,14,53
2023-01-30,Lower Manhattan,1,Monday,0,Evening,2,0,4,0,2,0,0,0,3,11
2023-01-30,Lower Manhattan,1,Monday,0,Morning,23,6,50,1,11,9,0,1,44,145
2023-01-31,Astoria,1,Tuesday,0,Afternoon,6,0,23,1,10,0,1,0,20,61
2023-01-31,Astoria,1,Tuesday,0,Evening,4,0,15,1,0,0,0,0,18,38
2023-01-31,Astoria,1,Tuesday,0,Morning,11,1,61,2,7,6,6,0,26,120
2023-01-31,Hell's Kitchen,1,Tuesday,0,Afternoon,2,0,22,0,0,3,2,0,9,38
2023-01-31,Hell's Kitchen,1,Tuesday,0,Evening,2,0,12,0,0,2,1,0,8,25
2023-01-31,Hell's Kitchen,1,Tuesday,0,Morning,26,0,50,5,4,8,2,0,60,155
2023-01-31,Lower Manhattan,1,Tuesday,0,Afternoon,7,0,26,2,3,1,0,0,14,53
2023-01-31,Lower Manhattan,1,Tuesday,0,Evening,1,0,5,0,0,0,0,0,4,10
2023-01-31,Lower Manhattan,1,Tuesday,0,Morning,19,1,53,3,15,6,1,0,47,145
2023-02-01,Astoria,2,Wednesday,0,Afternoon,21,0,71,0,14,0,0,0,67,173
2023-02-01,Astoria,2,Wednesday,0,Evening,8,0,28,0,12,0,0,0,28,76
2023-02-01,Astoria,2,Wednesday,0,Morning,1,0,9,0,2,0,0,0,11,23
2023-02-01,Hell's Kitchen,2,Wednesday,0,Afternoon,10,0,51,0,14,0,0,0,35,110
2023-02-01,Hell's Kitchen,2,Wednesday,0,Evening,3,0,40,0,10,0,0,0,33,86
